Title,Author,SE subject,Artist,Painting,Producer,Pub date,Rev date,Description
"Innocence of Father Brown, The","Chesterton, G. K.",Shorts,Jean-Baptiste-Camille Corot,"Marissal, Path to the Front of the Church","Cabal, Alex",2016-04-10,2016-04-10,Amateur detective and Catholic priest Father Brown solves mysteries in this first collection of Father Brown short stories.
"Man Who Was Thursday, The","Chesterton, G. K.",Fiction,Carlo Carrà,Funeral of the Anarchist Galli,"Cabal, Alex",2015-12-01,2015-12-01,An undercover policeman infiltrates a mysterious Anarchist group.
"Napoleon of Notting Hill, The","Chesterton, G. K.",Fiction,William Logsdail,The Bank,"Cabal, Alex",2017-02-09,2017-02-09,"A satire set in far-future London where the king, who was chosen at random, only cares about a good joke."
"Wisdom of Father Brown, The","Chesterton, G. K.",Shorts,Gaines Ruger Donoho,Windflowers,"Rice, Vince",2017-09-07,2017-09-07,Amateur detective and Catholic priest Father Brown solves mysteries in this second collection of Father Brown short stories.
"Phantom of the Opera, The","Leroux, Gaston",Mystery,Magnus Enckell,Sisäkuva Suomalaisesta Oopperasta,"Bell, Jason",2020-01-29,2020-01-29,A mysterious presence terrorizes the Paris Opera.
Arms and the Man,"Shaw, George Bernard",Drama,Alphonse-Marie-Adolphe de Neuville,A Cavalryman,"Smith, Asher",2021-03-29,2021-03-29,A humorous examination of human hypocrisy and war’s stupidity in the midst of the Serbo-Bulgarian war.
Major Barbara,"Shaw, George Bernard",Drama,E. Borough Johnson,A Salvation Army Shelter,"Keith, B. Timothy",2019-01-31,2019-01-31,"The story of idealistic Barbara Undershaft, a Major in the Salvation Army, who does not want to be connected to her father’s “tainted” money."
Man and Superman,"Shaw, George Bernard",Drama,N. C. Wyeth,"Native American Advertising Print (Fisk Rubber Co., 1919)","Smith, Asher",2021-03-15,2021-03-15,Jack Tanner flees both London and responsibility when he is made guardian of his childhood friend Ann Whitehead.
Pygmalion,"Shaw, George Bernard",Drama,Howard Cushing,Mrs. Ethel Cushing,"Keith, B. Timothy",2019-02-27,2019-02-27,An arrogant upper-class professor bets a colleague he can transform a simple flower girl into a “Duchess” in just six months.
Lavengro,"Borrow, George",Fiction,Alfred Munnings,The Departure of the Hop Pickers,"Grigg, David",2021-07-07,2021-07-07,"A young man with a passion for learning languages is befriended by a group of gypsies and travels Britain, encountering a variety of interesting characters."
Daniel Deronda,"Eliot, George",Fiction,Stephen Pearce,David Walker,"Grigg, David",2021-04-12,2021-04-12,"An orphaned young man raised as an aristocrat’s nephew feels a moral obligation to assist others, and in doing so eventually discovers his true parentage and culture."
Middlemarch,"Eliot, George",Fiction,John Constable,"The Grove, Hampstead","Grigg, David",2019-11-25,2019-11-25,"In the neighborhood of a rural English town in the 1830s, several men and women struggle with love, marriage and fortune."
